symbol,date,bs_asset_accruals,fy_period
0077.HK,20231214,132741000.00000001,FY2024H1
0077.HK,20230727,191169000.0,FY2023H2
0077.HK,20221215,237466000.0,FY2023H1
0078.HK,20260428,21806700000.0,FY2025H2
0078.HK,20250926,23198700000.0,FY2025H1
0078.HK,20250428,23690700000.0,FY2024H2
0078.HK,20240926,25836600000.0,FY2024H1
0078.HK,20240426,27861100000.0,FY2023H2
0078.HK,20230927,28531900000.0,FY2023H1
0079.HK,20260429,355607000.0,FY2025H2
0079.HK,20250926,371524000.0,FY2025H1
0079.HK,20250424,370179000.0,FY2024H2
0079.HK,20240924,379575000.0,FY2024H1
0079.HK,20240425,410057000.0,FY2023H2
0079.HK,20230915,497304000.0,FY2023H1
0080.HK,20260416,230571441.0,FY2025H2
0080.HK,20250919,48330176.0,FY2025H1
0080.HK,20250423,51927545.0,FY2024H2
0080.HK,20240920,65378494.0,FY2024H1
0080.HK,20240424,76314234.0,FY2023H2
0080.HK,20230921,125144897.0,FY2023H1
0081.HK,20260427,91834221000.0,FY2025H2
0081.HK,20250915,99216859000.0,FY2025H1
0081.HK,20250424,101892040000.0,FY2024H2
0081.HK,20240920,114773565000.0,FY2024H1
0081.HK,20240422,126009851000.0,FY2023H2
0081.HK,20230919,138956091000.0,FY2023H1
0082.HK,20260422,513013000.00000006,FY2025H2
0082.HK,20250917,597634000.0,FY2025H1
0082.HK,20250415,557887000.0,FY2024H2
0082.HK,20240913,587071000.0,FY2024H1
0082.HK,20240417,616809000.0,FY2023H2
0082.HK,20230920,659536000.0,FY2023H1
0083.HK,20250925,165288000000.0,FY2025H2
0083.HK,20250314,163201000000.0,FY2025H1
0083.HK,20240926,162414000000.0,FY2024H2
0083.HK,20240311,158326293011.0,FY2024H1
0083.HK,20230928,158611030722.0,FY2023H2
0083.HK,20230309,156102164190.0,FY2023H1
0084.HK,20250718,1080901000.0,FY2025H2
0084.HK,20241213,1066140000.0000001,FY2025H1
0084.HK,20240719,1061939000.0000001,FY2024H2
0084.HK,20231215,1036965999.9999999,FY2024H1
0084.HK,20221216,978372000.0,FY2023H1
0085.HK,20260429,3165042000.0,FY2025H2
0085.HK,20250922,3165159000.0,FY2025H1
0085.HK,20250429,3286559000.0,FY2024H2
0085.HK,20240927,2976550000.0,FY2024H1
0085.HK,20240429,3061458000.0,FY2023H2
0085.HK,20230928,3231058000.0,FY2023H1
0086.HK,20260413,12313800000.0,FY2025H2
0086.HK,20250902,13671300000.0,FY2025H1
0086.HK,20250410,13375800000.0,FY2024H2
0086.HK,20240902,14708200000.0,FY2024H1
0086.HK,20240415,14416200000.0,FY2023H2
0086.HK,20230825,14121400000.0,FY2023H1
0087.HK,20260408,428067000000.0,FY2025H2
0087.HK,20250904,426680000000.0,FY2025H1
0087.HK,20250407,428975000000.0,FY2024H2
0087.HK,20240905,414497000000.0,FY2024H1
0087.HK,20240408,409044000000.0,FY2023H2
0087.HK,20230905,414570000000.0,FY2023H1
0088.HK,20250721,5746500000.0,FY2025H2
0088.HK,20241209,5583600000.0,FY2025H1
0088.HK,20240718,5543100000.0,FY2024H2
0088.HK,20231208,5401300000.0,FY2024H1
0088.HK,20230721,5280200000.0,FY2023H2
0088.HK,20221208,5257300000.0,FY2023H1
0089.HK,20260427,11153244000.0,FY2025H2
0089.HK,20250910,11188536000.0,FY2025H1
0089.HK,20250415,11409663000.0,FY2024H2
0089.HK,20240909,11634985000.0,FY2024H1
0089.HK,20240418,11782620000.0,FY2023H2
0089.HK,20230912,12117815000.0,FY2023H1
0090.HK,20260416,1166717000.0,FY2025H2
0090.HK,20250925,1181685000.0,FY2025H1
0090.HK,20250429,1800422000.0,FY2024H2
0090.HK,20240924,1816536000.0,FY2024H1
0090.HK,20240429,1598910000.0,FY2023H2
0090.HK,20230925,1650067000.0,FY2023H1
0092.HK,20251027,289171000.0,FY2025H2
0092.HK,20250327,249292000.0,FY2025H1
0092.HK,20241030,247690000.0,FY2024H2
0092.HK,20240325,215960000.0,FY2024H1
